id,title,picture_url
40417,Fruits Basket 2nd Season,https://api-cdn.myanimelist.net/images/anime/1972/111635.jpg
33,Kenpuu Denki Berserk,https://api-cdn.myanimelist.net/images/anime/1384/119988.jpg
36098,Kimi no Suizou wo Tabetai,https://api-cdn.myanimelist.net/images/anime/1768/93291.jpg
11741,Fate/Zero 2nd Season,https://api-cdn.myanimelist.net/images/anime/1522/117645.jpg
49722,Karakai Jouzu no Takagi-san Movie,https://api-cdn.myanimelist.net/images/anime/1376/123398.jpg
5300,Zoku Natsume Yuujinchou,https://api-cdn.myanimelist.net/images/anime/4/79738.jpg
32,Neon Genesis Evangelion: The End of Evangelion,https://api-cdn.myanimelist.net/images/anime/1404/98182.jpg
21329,Mushishi: Hihamukage,https://api-cdn.myanimelist.net/images/anime/10/59315.jpg
877,Nana,https://api-cdn.myanimelist.net/images/anime/2/11232.jpg
437,Perfect Blue,https://api-cdn.myanimelist.net/images/anime/1254/134212.jpg
170,Slam Dunk,https://api-cdn.myanimelist.net/images/anime/12/86890.jpg
12365,Bakuman. 3rd Season,https://api-cdn.myanimelist.net/images/anime/6/41845.jpg
40776,Haikyuu!! To the Top Part 2,https://api-cdn.myanimelist.net/images/anime/1453/106768.jpg
4282,Kara no Kyoukai Movie 5: Mujun Rasen,https://api-cdn.myanimelist.net/images/anime/1574/112838.jpg
16498,Shingeki no Kyojin,https://api-cdn.myanimelist.net/images/anime/10/47347.jpg
40664,Shoujo☆Kageki Revue Starlight Movie,https://api-cdn.myanimelist.net/images/anime/1655/114440.jpg
35839,Sora yori mo Tooi Basho,https://api-cdn.myanimelist.net/images/anime/6/89879.jpg
30484,Steins;Gate 0,https://api-cdn.myanimelist.net/images/anime/1375/93521.jpg
38474,Yuru Camp△ Season 2,https://api-cdn.myanimelist.net/images/anime/1255/110636.jpg
37779,Yakusoku no Neverland,https://api-cdn.myanimelist.net/images/anime/1830/118780.jpg
7472,Gintama Movie 1: Shinyaku Benizakura-hen,https://api-cdn.myanimelist.net/images/anime/4/28803.jpg
35843,Gintama.: Porori-hen,https://api-cdn.myanimelist.net/images/anime/11/88325.jpg
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,https://api-cdn.myanimelist.net/images/anime/1480/100555.jpg
47194,Summertime Render,https://api-cdn.myanimelist.net/images/anime/1120/120796.jpg
53236,Road of Naruto,https://api-cdn.myanimelist.net/images/anime/1731/128787.jpg
205,Samurai Champloo,https://api-cdn.myanimelist.net/images/anime/1375/121599.jpg
578,Hotaru no Haka,https://api-cdn.myanimelist.net/images/anime/7/75808.jpg
38000,Kimetsu no Yaiba,https://api-cdn.myanimelist.net/images/anime/1286/99889.jpg
33049,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,https://api-cdn.myanimelist.net/images/anime/1974/98158.jpg
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,https://api-cdn.myanimelist.net/images/anime/3/79156.jpg
12431,Uchuu Kyoudai,https://api-cdn.myanimelist.net/images/anime/7/37573.jpg
30276,One Punch Man,https://api-cdn.myanimelist.net/images/anime/12/76049.jpg
25777,Shingeki no Kyojin Season 2,https://api-cdn.myanimelist.net/images/anime/4/84177.jpg
32182,Mob Psycho 100,https://api-cdn.myanimelist.net/images/anime/8/80356.jpg
30654,Ansatsu Kyoushitsu 2nd Season,https://api-cdn.myanimelist.net/images/anime/8/77966.jpg
3297,Aria the Origination,https://api-cdn.myanimelist.net/images/anime/1394/129606.jpg
36649,Banana Fish,https://api-cdn.myanimelist.net/images/anime/1190/93472.jpg
50330,Bungou Stray Dogs 4th Season,https://api-cdn.myanimelist.net/images/anime/1263/132759.jpg
48561,Jujutsu Kaisen 0 Movie,https://api-cdn.myanimelist.net/images/anime/1121/119044.jpg
6114,Rainbow: Nisha Rokubou no Shichinin,https://api-cdn.myanimelist.net/images/anime/9/72697.jpg
38475,Yuru Camp△ Movie,https://api-cdn.myanimelist.net/images/anime/1052/123863.jpg
37379,Chihayafuru 3,https://api-cdn.myanimelist.net/images/anime/1898/110709.jpg
44087,Gintama: The Semi-Final,https://api-cdn.myanimelist.net/images/anime/1694/110521.jpg
11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://api-cdn.myanimelist.net/images/anime/5/54231.jpg
45649,The First Slam Dunk,https://api-cdn.myanimelist.net/images/anime/1745/129284.jpg
10165,Nichijou,https://api-cdn.myanimelist.net/images/anime/3/75617.jpg
392,Yuu☆Yuu☆Hakusho,https://api-cdn.myanimelist.net/images/anime/1228/111372.jpg
49310,Fruits Basket: Prelude,https://api-cdn.myanimelist.net/images/anime/1034/120096.jpg
40059,Golden Kamuy 3rd Season,https://api-cdn.myanimelist.net/images/anime/1763/108108.jpg
46569,Jigokuraku,https://api-cdn.myanimelist.net/images/anime/1075/131925.jpg
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,https://api-cdn.myanimelist.net/images/anime/1638/119321.jpg
31181,Owarimonogatari,https://api-cdn.myanimelist.net/images/anime/8/76479.jpg
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://api-cdn.myanimelist.net/images/anime/1724/117421.jpg
11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://api-cdn.myanimelist.net/images/anime/1611/112806.jpg
36999,Zoku Owarimonogatari,https://api-cdn.myanimelist.net/images/anime/1022/96168.jpg
20583,Haikyuu!!,https://api-cdn.myanimelist.net/images/anime/7/76014.jpg
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://api-cdn.myanimelist.net/images/anime/11/75045.jpg
49721,Karakai Jouzu no Takagi-san 3,https://api-cdn.myanimelist.net/images/anime/1861/120361.jpg
37208,Mo Dao Zu Shi,https://api-cdn.myanimelist.net/images/anime/1253/93893.jpg
24687,Mushishi Zoku Shou: Odoro no Michi,https://api-cdn.myanimelist.net/images/anime/8/63539.jpg
38889,Kono Oto Tomare! Part 2,https://api-cdn.myanimelist.net/images/anime/1422/111621.jpg
38450,Mo Dao Zu Shi: Xian Yun Pian,https://api-cdn.myanimelist.net/images/anime/1404/106707.jpg
2246,Mononoke,https://api-cdn.myanimelist.net/images/anime/3/20713.jpg
36885,Saenai Heroine no Sodatekata Fine,https://api-cdn.myanimelist.net/images/anime/1671/111411.jpg
34612,Saiki Kusuo no Ψ-nan 2,https://api-cdn.myanimelist.net/images/anime/1961/91383.jpg
44070,Tian Guan Ci Fu Special,https://api-cdn.myanimelist.net/images/anime/1043/110306.jpg
21899,Gintama: Yorinuki Gintama-san on Theater 2D,https://api-cdn.myanimelist.net/images/anime/1172/90571.jpg
37105,Grand Blue,https://api-cdn.myanimelist.net/images/anime/1302/94882.jpg
40787,Josee to Tora to Sakana-tachi,https://api-cdn.myanimelist.net/images/anime/1714/108892.jpg
46095,Vivy: Fluorite Eye's Song,https://api-cdn.myanimelist.net/images/anime/1637/115052.jpg
467,Koukaku Kidoutai: Stand Alone Complex,https://api-cdn.myanimelist.net/images/anime/11/50857.jpg
33255,Saiki Kusuo no Ψ-nan,https://api-cdn.myanimelist.net/images/anime/11/80167.jpg
36538,Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://api-cdn.myanimelist.net/images/anime/1250/94846.jpg
25781,Shingeki no Kyojin: Kuinaki Sentaku,https://api-cdn.myanimelist.net/images/anime/8/69497.jpg
136,Hunter x Hunter,https://api-cdn.myanimelist.net/images/anime/1305/132237.jpg
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://api-cdn.myanimelist.net/images/anime/1295/106551.jpg
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,https://api-cdn.myanimelist.net/images/anime/1667/112943.jpg
45556,Wu Liuqi: Xuanwu Guo Pian,https://api-cdn.myanimelist.net/images/anime/1884/111224.jpg
5028,Major S5,https://api-cdn.myanimelist.net/images/anime/9/75218.jpg
35851,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,https://api-cdn.myanimelist.net/images/anime/11/89556.jpg
32366,Gintama°: Aizome Kaori-hen,https://api-cdn.myanimelist.net/images/anime/1962/133573.jpg
5205,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),https://api-cdn.myanimelist.net/images/anime/9/56619.jpg
49596,Blue Lock,https://api-cdn.myanimelist.net/images/anime/1258/126929.jpg
14397,Chihayafuru 2,https://api-cdn.myanimelist.net/images/anime/6/47435.jpg
5941,Cross Game,https://api-cdn.myanimelist.net/images/anime/6/22103.jpg
35557,Houseki no Kuni,https://api-cdn.myanimelist.net/images/anime/3/88293.jpg
30709,Kamisama Hajimemashita: Kako-hen,https://api-cdn.myanimelist.net/images/anime/3/81250.jpg
37965,Kaze ga Tsuyoku Fuiteiru,https://api-cdn.myanimelist.net/images/anime/1936/129119.jpg
36275,Natsume Yuujinchou Roku Specials,https://api-cdn.myanimelist.net/images/anime/10/87615.jpg
39551,Tensei shitara Slime Datta Ken 2nd Season,https://api-cdn.myanimelist.net/images/anime/1271/109841.jpg
40730,Tian Guan Ci Fu,https://api-cdn.myanimelist.net/images/anime/1319/109301.jpg
39808,Non Non Biyori Nonstop,https://api-cdn.myanimelist.net/images/anime/1033/111540.jpg
31646,3-gatsu no Lion,https://api-cdn.myanimelist.net/images/anime/6/82898.jpg
22789,Barakamon,https://api-cdn.myanimelist.net/images/anime/1426/111248.jpg
49918,Boku no Hero Academia 6th Season,https://api-cdn.myanimelist.net/images/anime/1483/126005.jpg
5,Cowboy Bebop: Tengoku no Tobira,https://api-cdn.myanimelist.net/images/anime/1439/93480.jpg
49926,Kimetsu no Yaiba: Mugen Ressha-hen,https://api-cdn.myanimelist.net/images/anime/1065/118763.jpg
2251,Baccano!,https://api-cdn.myanimelist.net/images/anime/3/14547.jpg
41025,Fumetsu no Anata e,https://api-cdn.myanimelist.net/images/anime/1880/118484.jpg
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,https://api-cdn.myanimelist.net/images/anime/1958/107912.jpg
9260,Kizumonogatari I: Tekketsu-hen,https://api-cdn.myanimelist.net/images/anime/1783/112810.jpg
37515,Made in Abyss Movie 2: Hourou Suru Tasogare,https://api-cdn.myanimelist.net/images/anime/1336/95168.jpg
11979,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://api-cdn.myanimelist.net/images/anime/6/42265.jpg
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,https://api-cdn.myanimelist.net/images/anime/1530/117776.jpg
9756,Mahou Shoujo Madoka★Magica,https://api-cdn.myanimelist.net/images/anime/11/55225.jpg
38883,Haikyuu!! To the Top,https://api-cdn.myanimelist.net/images/anime/1813/105367.jpg
572,Kaze no Tani no Nausicaä,https://api-cdn.myanimelist.net/images/anime/10/75914.jpg
10162,Usagi Drop,https://api-cdn.myanimelist.net/images/anime/2/29665.jpg
48653,Yoru ni Kakeru,https://api-cdn.myanimelist.net/images/anime/1548/124083.jpg
10030,Bakuman. 2nd Season,https://api-cdn.myanimelist.net/images/anime/3/34923.jpg
6945,Gintama: Shiroyasha Koutan,https://api-cdn.myanimelist.net/images/anime/6/16161.jpg
777,Hellsing Ultimate,https://api-cdn.myanimelist.net/images/anime/6/7333.jpg
9617,K-On! Movie,https://api-cdn.myanimelist.net/images/anime/5/76233.jpg
48316,Kage no Jitsuryokusha ni Naritakute!,https://api-cdn.myanimelist.net/images/anime/1874/121869.jpg
22535,Kiseijuu: Sei no Kakuritsu,https://api-cdn.myanimelist.net/images/anime/3/73178.jpg
30,Neon Genesis Evangelion,https://api-cdn.myanimelist.net/images/anime/1314/108941.jpg
13601,Psycho-Pass,https://api-cdn.myanimelist.net/images/anime/5/43399.jpg
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,https://api-cdn.myanimelist.net/images/anime/1444/108005.jpg
7655,Major S6,https://api-cdn.myanimelist.net/images/anime/2/75216.jpg
20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://api-cdn.myanimelist.net/images/anime/11/79742.jpg
5040,One Outs,https://api-cdn.myanimelist.net/images/anime/7/21065.jpg
50602,Spy x Family Part 2,https://api-cdn.myanimelist.net/images/anime/1111/127508.jpg
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,https://api-cdn.myanimelist.net/images/anime/1033/118296.jpg
5081,Bakemonogatari,https://api-cdn.myanimelist.net/images/anime/11/75274.jpg
39533,Given,https://api-cdn.myanimelist.net/images/anime/1666/102238.jpg
42984,Gotcha!,https://api-cdn.myanimelist.net/images/anime/1637/109512.jpg
185,Initial D First Stage,https://api-cdn.myanimelist.net/images/anime/1384/127972.jpg
10937,Kidou Senshi Gundam: The Origin,https://api-cdn.myanimelist.net/images/anime/4/72702.jpg
17389,Kingdom 2nd Season,https://api-cdn.myanimelist.net/images/anime/13/53589.jpg
12029,Uchuu Senkan Yamato 2199,https://api-cdn.myanimelist.net/images/anime/2/36607.jpg
338,Versailles no Bara,https://api-cdn.myanimelist.net/images/anime/9/57043.jpg
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",https://api-cdn.myanimelist.net/images/anime/9/89993.jpg
34534,Natsume Yuujinchou Go Specials,https://api-cdn.myanimelist.net/images/anime/3/84887.jpg
5341,Ookami to Koushinryou II,https://api-cdn.myanimelist.net/images/anime/6/59399.jpg
2559,Romeo no Aoi Sora,https://api-cdn.myanimelist.net/images/anime/4/17979.jpg
48549,Dr. Stone: New World,https://api-cdn.myanimelist.net/images/anime/1255/135158.jpg
28701,Fate/stay night: Unlimited Blade Works 2nd Season,https://api-cdn.myanimelist.net/images/anime/1881/124810.jpg
6594,Katanagatari,https://api-cdn.myanimelist.net/images/anime/1112/119225.jpg
39112,Kawaki wo Ameku,https://api-cdn.myanimelist.net/images/anime/1776/121796.jpg
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://api-cdn.myanimelist.net/images/anime/5/79697.jpg
31043,Boku dake ga Inai Machi,https://api-cdn.myanimelist.net/images/anime/10/77957.jpg
3784,Evangelion: 2.0 You Can (Not) Advance,https://api-cdn.myanimelist.net/images/anime/5/74983.jpg
137,Hunter x Hunter: Original Video Animation,https://api-cdn.myanimelist.net/images/anime/1/137.jpg
5420,Kemono no Souja Erin,https://api-cdn.myanimelist.net/images/anime/9/19845.jpg
39247,Kobayashi-san Chi no Maid Dragon S,https://api-cdn.myanimelist.net/images/anime/1252/115539.jpg
4081,Natsume Yuujinchou,https://api-cdn.myanimelist.net/images/anime/1681/108439.jpg
1210,NHK ni Youkoso!,https://api-cdn.myanimelist.net/images/anime/3/52675.jpg
12531,Sakamichi no Apollon,https://api-cdn.myanimelist.net/images/anime/1604/98654.jpg
34240,Shelter (Music),https://api-cdn.myanimelist.net/images/anime/5/82388.jpg
24415,Kuroko no Basket 3rd Season,https://api-cdn.myanimelist.net/images/anime/4/68299.jpg
38826,Tenki no Ko,https://api-cdn.myanimelist.net/images/anime/1880/101146.jpg
1365,Detective Conan Movie 06: The Phantom of Baker Street,https://api-cdn.myanimelist.net/images/anime/1400/94320.jpg
30230,Diamond no Ace: Second Season,https://api-cdn.myanimelist.net/images/anime/9/74398.jpg
50612,Dr. Stone: Ryuusui,https://api-cdn.myanimelist.net/images/anime/1071/124921.jpg
31988,Hibike! Euphonium 2,https://api-cdn.myanimelist.net/images/anime/10/81155.jpg
46654,IDOLiSH7 Third Beat! Part 2,https://api-cdn.myanimelist.net/images/anime/1458/125998.jpg
2402,Ashita no Joe,https://api-cdn.myanimelist.net/images/anime/5/64671.jpg
